"TripID","TripStartDate","Periodo5","CountryVisited","presidente_origen","ideology_origen","Mandato_asignado_inicio","Mandato_asignado_fin","ideology_destino","presidente_destino","bloque_origen","bloque_destino","misma_ideologia"
"2117-BOL-ARG-39472",2008-01-25,2005,"Argentina","Juan Evo Morales Ayma1",2.20000004768372,2007-12-10,2011-12-10,2.5,"Cristina Fernandez1","Izquierda","Izquierda",TRUE
"2117-BOL-ARG-42200",2015-07-15,2015,"Argentina","Juan Evo Morales Ayma3",4,2011-12-10,2015-12-10,1.89999997615814,"Cristina Fernandez2","Centro","Izquierda",FALSE
"2117-BOL-ARG-42264",2015-09-17,2015,"Argentina","Juan Evo Morales Ayma3",4,2011-12-10,2015-12-10,1.89999997615814,"Cristina Fernandez2","Centro","Izquierda",FALSE
"2117-BOL-ARG-43576",2019-04-21,2015,"Argentina","Juan Evo Morales Ayma3",4,2015-12-10,2019-12-10,6.3,"Mauricio Macri","Centro","Derecha",FALSE
"3766-BOL-ARG-44658",2022-04-07,2020,"Argentina","Luis Arce",5,2019-12-10,2023-12-10,3,"Alberto Fernandez","Derecha","Centro",FALSE
"840-BOL-BRA-34562",1994-08-16,1990,"Brazil","Gonzalo Sanchez de Lozada",5.90000009536743,1992-12-29,1995-01-01,4.44000005722046,"Itamar Augusto Cautiero Franco","Derecha","Centro",FALSE
"1871-BOL-BRA-37943",2003-11-18,2000,"Brazil","Carlos Diego Mesa Gisbert",4.5,2003-01-01,2007-01-01,2.44000005722046,"Luiz Inacio Lula da Silva1","Centro","Izquierda",FALSE
"2117-BOL-BRA-39127",2007-02-14,2005,"Brazil","Juan Evo Morales Ayma1",2.20000004768372,2007-01-01,2011-01-01,2.55999994277954,"Luiz Inacio Lula da Silva2","Izquierda","Izquierda",TRUE
"2117-BOL-BRA-39828",2009-01-15,2005,"Brazil","Juan Evo Morales Ayma1",2.20000004768372,2007-01-01,2011-01-01,2.55999994277954,"Luiz Inacio Lula da Silva2","Izquierda","Izquierda",TRUE
"2117-BOL-BRA-42402",2016-02-02,2015,"Brazil","Juan Evo Morales Ayma3",4,2015-01-01,2016-08-31,2.6,"Dilma Rousseff2","Centro","Izquierda",FALSE
"2117-BOL-BRA-43060",2017-11-21,2015,"Brazil","Juan Evo Morales Ayma3",4,2016-08-31,2019-01-01,5.1,"Michel Temmer","Centro","Derecha",FALSE
"3766-BOL-CHL-44630",2022-03-10,2020,"Chile","Luis Arce",5,2018-03-11,2022-03-11,5.81,"Sebastián Piñera2","Derecha","Derecha",TRUE
"1871-BOL-COL-38320",2004-11-29,2000,"Colombia","Carlos Diego Mesa Gisbert",4.5,2002-08-07,2006-08-07,6.8600001335144,"Alvaro Uribe Velez1","Centro","Derecha",FALSE
"2117-BOL-COL-40982",2012-03-14,2010,"Colombia","Juan Evo Morales Ayma2",2.90000009536743,2010-08-07,2014-08-07,4.57000017166138,"Juan Manuel Santos Calderon","Izquierda","Centro",FALSE
"3766-BOL-COL-44779",2022-08-06,2020,"Colombia","Luis Arce",5,2018-08-07,2022-08-07,6,"Iván Duque Márquez","Derecha","Derecha",TRUE
"2117-BOL-ECU-40463",2010-10-12,2010,"Ecuador","Juan Evo Morales Ayma2",2.90000009536743,2009-08-10,2013-05-24,2.82999992370606,"Rafael Vicente Correa Delgado2","Izquierda","Izquierda",TRUE
"2117-BOL-ECU-41478",2013-07-23,2010,"Ecuador","Juan Evo Morales Ayma2",2.90000009536743,2013-05-24,2017-05-24,3.5,"Rafael Vicente Correa Delgado3","Izquierda","Centro",FALSE
"840-BOL-PRY-34407",1994-03-14,1990,"Paraguay","Gonzalo Sanchez de Lozada",5.90000009536743,1993-08-15,1998-08-15,5.75,"Juan Carlos Maria Wasmosy Monti","Derecha","Derecha",TRUE
"840-BOL-PRY-35178",1996-04-23,1995,"Paraguay","Gonzalo Sanchez de Lozada",5.90000009536743,1993-08-15,1998-08-15,5.75,"Juan Carlos Maria Wasmosy Monti","Derecha","Derecha",TRUE
"2117-BOL-PRY-39976",2009-06-12,2005,"Paraguay","Juan Evo Morales Ayma1",2.20000004768372,2008-08-15,2012-06-22,2.59999990463257,"Fernando Armindo Lugo Mendez","Izquierda","Izquierda",TRUE
"2117-BOL-PRY-40312",2010-05-14,2010,"Paraguay","Juan Evo Morales Ayma2",2.90000009536743,2008-08-15,2012-06-22,2.59999990463257,"Fernando Armindo Lugo Mendez","Izquierda","Izquierda",TRUE
"2117-BOL-PRY-42184",2015-06-29,2015,"Paraguay","Juan Evo Morales Ayma3",4,2013-08-15,2018-08-15,5.59999990463257,"Horacio Manuel Cartes Jara","Centro","Derecha",FALSE
"840-BOL-PER-34520",1994-07-05,1990,"Peru","Gonzalo Sanchez de Lozada",5.90000009536743,1990-07-28,1995-07-28,4.78000020980835,"Alberto Kenya Fujimori Fujimori1","Derecha","Centro",FALSE
"1871-BOL-PER-38203",2004-08-04,2000,"Peru","Carlos Diego Mesa Gisbert",4.5,2001-07-28,2006-07-28,4.67000007629395,"Alejandro Celestino Toledo Manrique","Centro","Centro",TRUE
